slug,name,mrr,last30,subs,demand_h,comp_h,verdict,website,x_handle
orion-ai-solutions-inc,Orion AI Solutions Inc.,607.61,682.30,413,4,2,GO_CANDIDATE,https://orionaisolutions.ai,@
goodie-ai,Goodie AI,133.45,139.37,3866,5,3,GO_CANDIDATE,https://apps.apple.com/us/app/goodie-ai-check-groceries/id6741483227?uo=4,@
magicslides-app,MagicSlides.app,115.09,103.53,836,4,2,GO_CANDIDATE,https://www.magicslides.app,@indianappguy
krilup,Krilup,80.01,53.40,123,3,4,KILL_OR_UNBUNDLE,https://krilup.com,@feedayin
appalchemy,AppAlchemy,62.01,59.80,219,3,2,GO_CANDIDATE,https://appalchemy.ai,@diegoroshardt
uplinked-b-v,UpLinked B.V.,39.73,27.50,61,3,4,KILL_OR_UNBUNDLE,https://www.uplinked.app,@
peoplefinder,Lurq By PeopleFinder,38.30,61.81,161,4,2,GO_CANDIDATE,https://peoplefinder.app,@
publbee,Publbee,34.88,31.61,103,4,2,GO_CANDIDATE,https://www.publbee.com,@nezirbasar1
myreader-inc,Myreader  Inc.,28.11,21.96,253,4,4,KILL_OR_UNBUNDLE,https://www.myreader.ai,@prasann_pandya
soarly,Soarly,19.82,18.26,38,2,4,WATCH,https://soarly.ai,@
anonymous-startup-42,Anonymous startup,18.22,12.70,108,3,2,GO_CANDIDATE,,@
vectosolve,VECTOSOLVE,16.46,32.74,233,4,2,GO_CANDIDATE,https://vectosolve.com,@go_to_rob
hidden-business-48,Anonymous startup,15.50,15.82,126,4,2,GO_CANDIDATE,,@
propal,Propal,13.14,19.75,39,2,2,WATCH,https://www.propal.io,@dylan_wlms
autoreels-ai,AutoReels.AI,12.80,9.57,52,2,4,WATCH,https://autoreelsai.lemonsqueezy.com,@httpsxcoma
stealth-company-46,Anonymous startup,8.88,19.88,182,4,2,GO_CANDIDATE,,@
private-enterprise-52,Anonymous startup,8.02,6.91,48,3,2,GO_CANDIDATE,,@
quran-unlock,Quran Unlock,6.46,7.50,273,4,2,GO_CANDIDATE,https://apps.apple.com/app/id6754449406,@iamyacine
musicx,AI Music Generator(iOS+macOS)— MusicX,4.24,5.28,22,2,2,WATCH,https://apps.apple.com/us/app/create-music-with-ai-musicx/id6761443704?uo=4,@
magnetic-1,Magnetic,3.67,6.26,77,3,2,GO_CANDIDATE,https://apps.apple.com/app/id6761497459,@jack_mitchell01
halo-1,Halo,1.90,1.81,60,2,2,WATCH,https://createhalo.xyz,@
ai-rewrite,AI Rewrite,1.24,0.54,20,2,2,WATCH,https://apps.apple.com/us/app/ai-rewriter-paraphrase-text/id6470650769?uo=4,@nikolaynankov
